id,name,age,badge,past_purchase_amt
1,Nikki Young,36,bronze,42.94
2,William Moats,40,gold,10.030000000000001
3,John Lemke,24,silver,203.37
4,Elizabeth Gavin,39,bronze,132.04000000000002
5,Myrtle Blais,37,bronze,41.56
6,Ruth Lake,32,bronze,10.05
7,Clara Paige,30,bronze,34.07
8,Bonnie Edison,36,silver,40.0
9,Joan Mcmanus,31,silver,6.07
10,Andrew Smith,27,bronze,802.87
11,Thelma Flores,42,silver,18.14
12,Anna Hamer,37,bronze,54.26
13,Patty Gray,28,silver,94.61
14,Gerald Burwood,40,bronze,14.07
15,Jack Johnson,44,gold,12.129999999999999
16,Charles Sylvester,26,bronze,9.01
17,Steven Roberts,37,silver,19.97
18,Alene Ingham,24,bronze,11.379999999999999
19,Dorothy Smith,46,silver,34.22
20,Mary Longoria,36,bronze,398.09
21,Elizabeth Pierson,35,gold,119.49
22,Sharon Mead,30,silver,8.3
23,Kenneth Warfield,37,silver,14.58
24,Susan White,37,bronze,10.17
25,Johanna Hopkins,45,bronze,14.71
26,Christina Shively,26,gold,33.239999999999995
27,Marion Rogers,39,bronze,34.370000000000005
28,Donna Stone,40,gold,11.32
29,Alan Bollinger,26,bronze,16.07
30,Bradley House,44,gold,24.9
31,Jason Collins,33,silver,30.2
32,Robert Laboy,24,bronze,14.98
33,Ila Stuckert,39,bronze,723.66
34,Elmer Frantz,39,silver,5.17
35,Ruby Stevenson,29,gold,43.27
36,Janet Fisher,23,bronze,119.98
37,Timothy Cook,30,bronze,14.370000000000001
38,Brandy Rogers,35,silver,15.219999999999999
39,David Nguyen,37,bronze,67.53999999999999
40,Kimberly Hoekstra,36,silver,19.2
41,Allan Workman,42,gold,38.93
42,Armanda Oakley,24,silver,22.33
43,Prince Davis,41,gold,12.280000000000001
44,Caroline Emberton,41,bronze,99.91
45,Mary Pressley,25,gold,8.24
46,Tina Unnasch,34,silver,44.74
47,Shirley Winters,45,silver,67.74000000000001
48,Nathan Fairchild,39,gold,20.259999999999998
49,Golda Crawford,37,gold,47.8
50,Diane Hames,28,silver,10.13
51,Louis Egan,37,silver,19.189999999999998
52,Joshua Comeaux,38,silver,35.67
53,Kenneth Landreth,43,silver,21.65
54,Diane Mastin,35,bronze,13.17
55,Cheryl Anderson,38,silver,59.36
56,Grant Gibson,41,bronze,9.35
57,Selma Tyrrell,30,bronze,8.02
58,Arthur Thompson,32,gold,7.25
59,Aisha Anderson,42,bronze,11.719999999999999
60,Polly Norrix,37,gold,10.21
61,Margaret Wright,40,bronze,48980.82
62,Charles Favero,44,silver,32.17
63,Danny Young,39,silver,15.3
64,Raymond Rodriguez,40,silver,18.03
65,David Johnston,39,silver,17.18
66,Nelson Yung,42,gold,30.28
67,Daniel Heister,37,gold,7.33
68,Elizabeth Florido,21,silver,16.0
69,Carlton Hegwood,41,bronze,27.22
70,Sherry Mumford,32,bronze,95.18
71,Edward Cradle,28,bronze,174.75
72,Nicholas Estes,40,bronze,14.21
73,Richard Torres,37,silver,49.87
74,Ricardo Fox,34,bronze,57.76
75,Toby Schroeder,40,gold,11.690000000000001
76,Tomas Garnica,19,bronze,201.76
77,Adele Conner,30,bronze,16.68
78,Craig Corr,39,bronze,36.86
79,Lorena Gehrmann,36,bronze,59.31
80,Brigitte Glenn,23,gold,62.65
81,Van Blodgett,31,bronze,5.19
82,Brian Fields,36,bronze,6.08
83,Melissa Taylor,31,gold,37.769999999999996
84,Maxine Tsuji,41,silver,32.94
85,Leonard Stewart,39,silver,6.03
86,Christopher Boucher,43,silver,15.98
